year,inflation,Trade_to_GDP,Exports_to_GDP,Imports_to_GDP,population,Exports_USD_current,Exports_USD_constant,Imports_USD_current,Imports_USD_constant,iso3c,IncomeGroup
2013,1.46483265562714,30.0130072244039,13.5445244354918,16.4684827889121,316057727,2.273428e+12,2118638675255.43,2.76421e+12,2600198213293.02,USA,High income
2014,1.62222297740821,29.9688503643777,13.535773933254,16.4330764311238,318386421,2.371704e+12,2207928537008.56,2.879362e+12,2730143825285.69,USA,High income
2015,0.118627135552435,27.7367718305336,12.4417529794929,15.2950188510407,320742673,2.2668e+12,2218374143017.86,2.786645e+12,2874526498312.37,USA,High income
2016,1.26158320570537,26.5140005953439,11.8703515039496,14.6436490913943,323071342,2.220609e+12,2218069829608.05,2.739415e+12,2931762579747.64,USA,High income
2017,2.13011000365963,27.1423202420193,12.094833790784,15.0474864512352,325147121,2.356726e+12,2295205822565.52,2.932062e+12,3069750636795.11,USA,High income
2018,2.44258329692818,27.5439028356461,12.2186917545542,15.3252110810918,327167434,2.51025e+12,2364439000617.34,3.148464e+12,3203784275125.54,USA,High income
2019,,,,,,,,,,USA,High income
1960,38.5040374002647,32.4137931034483,13.7931034482759,18.6206896551724,2538643,171350239.890336,830005236.945601,231322823.851953,1350882433.03892,URY,High income
1961,22.7472639867959,28.9772727272727,14.2045454545455,14.7727272727273,2571681,219799542.816951,1019994256.60866,228591524.529629,1284875741.4301,URY,High income
1962,10.9074243811898,25.7731958762887,11.340206185567,14.4329896907217,2603882,193918025.561922,875662602.679518,246804759.806082,1457239287.14546,URY,High income
1963,21.2546957175585,24.0343347639485,12.0171673819742,12.0171673819742,2635126,185026101.896518,913972302.980143,185026101.896518,1118322003.97269,URY,High income
1964,42.3694157015187,23.2835820895522,11.9402985074627,11.3432835820896,2665388,235904694.503421,949180745.230608,224109459.77825,1223656603.36257,URY,High income
1965,56.5565565566606,29.8724954462659,18.3970856102004,11.4754098360656,2694536,347846451.621791,1215018259.06738,216973529.229434,933647154.190219,URY,High income
1966,73.4626932061085,28.6153846153846,17.1282051282051,11.4871794871795,2722875,309880742.303546,1077263290.85406,207824210.407168,1034878053.15729,URY,High income
1967,89.275297285038,27.7877161598092,14.6094215861658,13.1782945736434,2750086,233417808.349688,1005287315.39278,210552390.388903,1156967659.6774,URY,High income
1968,125.336991126492,27.3883626522327,15.1826792963464,12.2056833558863,2774759,241962614.403892,1151166840.8127,194518964.520776,1070785932.18258,URY,High income
1969,20.9666666659999,25.5280627640314,13.3977066988533,12.130356065178,2795042,268548387.096774,1149624783.65781,243145161.290323,1316680192.20973,URY,High income
1970,16.3061449435997,29.0943396226415,13.8867924528302,15.2075471698113,2809793,296774193.548387,1181351983.90673,3.25e+08,1694586901.51329,URY,High income
1971,23.9530889061731,21.7178971559897,10.2844010341856,11.4334961218041,2818281,288709677.419355,1124198143.13739,320967741.935484,1735079263.23484,URY,High income
1972,76.4849237828813,30.3304078471864,15.4362416107383,14.8941662364481,2821461,337963852.561856,1104070878.90075,326095556.736106,1600249219.99279,URY,High income
1973,96.9972653187057,19.9234844025898,10.4178928781636,9.50559152442613,2822117,412996076.537273,1100583993.5732,376829753.450676,1750020065.50315,URY,High income
1974,77.213413779201,31.2728163119936,14.3820674917639,16.8907488202297,2824095,588256717.015833,1328209679.72766,690867043.60256,1650852888.47477,URY,High income
1975,81.4053840067419,37.0585261028947,16.7804323094425,20.2780937934522,2830176,593739237.77747,1581774101.59302,717496410.728902,1801641463.0894,URY,High income
1976,50.6230495604619,39.6381741916306,19.5594015259108,20.0787726657199,2841372,717274791.824375,1914702559.3294,736320968.962907,1842392969.48765,URY,High income
1977,58.1961750215737,42.5549831324041,19.8964408065064,22.6585423258976,2856958,818672296.504809,2051744037.6821,932323577.960131,1994877757.49714,URY,High income
1978,44.5483436672392,40.0015553098617,18.8469744151528,21.1545808947089,2875728,925434933.832282,2140780435.06803,1038744349.05609,2136497361.38245,URY,High income
1979,66.8442861850437,38.0001243593274,16.8331008998286,21.1670234594988,2895688,1208816163.6471,2281303045.48736,1520043172.46148,2598710534.90946,URY,High income
1980,63.4758304314673,35.6643963385537,15.032970370049,20.6314259685046,2915389,1527803802.70047,2363762689.97503,2096775971.34197,2796705644.15253,URY,High income
1981,34.0453358609474,34.2354588756206,15.2041124379445,19.0313464376761,2934613,1679801358.25003,2509705507.3727,2102647012.49849,2824891040.6311,URY,High income
1982,18.9925012952182,31.6166588154616,14.3258672173782,17.2907915980833,2953852,1314943009.96874,2245691936.04655,1587087553.14618,2440788447.77405,URY,High income
1983,49.1973796505638,49.2927392457026,25.6888736851108,23.6038655605918,2973036,1310718586.91289,2268016696.16282,1204335608.18948,1850344572.41747,URY,High income
1984,55.3044235418763,47.9560746008794,26.5806208870658,21.3754537138136,2992246,1289224289.85227,2138691488.80716,1036761114.48063,1585313225.01347,URY,High income
1985,72.2225644287757,47.8565698432329,26.7565263896781,21.1000434535548,3011519,1266123611.05619,2174255920.82997,998457827.513939,1568631366.66354,URY,High income
1986,76.3806364119544,46.4837402254368,26.215089241495,20.2686509839418,3030649,1541476814.9821,2528693849.19839,1191819538.54484,2029149048.77947,URY,High income
1987,63.5666624326724,40.8546449902861,21.6486953004817,19.2059496898043,3049581,1594966344.74685,2314583421.94574,1414997206.48096,2349816406.33714,URY,High income
1988,62.1919564596004,39.7938131726058,22.0578881217247,17.7359250508811,3068705,1811728050.69901,2479038760.25474,1456742945.76411,2339977240.55434,URY,High income
1989,80.4474367280735,41.193561882081,23.4938691449652,17.6996927371158,3088595,1982636216.99416,2665064385.01448,1493668481.49806,2455721608.94475,URY,High income
1990,112.525905573023,41.6284721190914,23.5321233746953,18.0963487443961,3109601,2188214420.08414,3030215073.09669,1682750453.19287,2439576432.36479,URY,High income
1991,101.971683202507,38.5549047407092,20.6936682982543,17.8612364424549,3131660,2318926500.47083,3112684020.26542,2001525003.7171,2880594679.33902,URY,High income
1992,68.4591938395374,40.0730436292529,20.4475748164263,19.6254688128265,3154464,2633279555.6731,3396572152.08686,2527407101.29595,3604310042.72668,URY,High income
1993,54.1007924425194,38.6849667589585,19.1260158469537,19.5589509120048,3177745,2869305270.10226,3689580607.21097,2934254649.71708,4225161406.83257,URY,High income
1994,44.7360421521933,40.1488337195203,19.7668103889187,20.3820233306016,3201151,3454180495.25169,4248333064.30546,3561686789.98394,4997133407.02451,URY,High income
1995,42.2483197983755,38.0976748425287,18.9968128121984,19.1008620303303,3224281,3665940935.58041,4169435036.46251,3686020003.1501,4845386635.38823,URY,High income
1996,28.3420486004309,39.5284364552889,19.6699797975865,19.8584566577024,3247381,4035403171.1784,4598138444.25871,4074070222.53443,5394412085.49972,URY,High income
1997,19.8188093183778,37.706397080707,17.457847722398,20.248549358309,3270164,4184615200.49143,5196894851.49362,4853541443.36885,6108914417.47906,URY,High income
1998,10.8110703055616,35.640015387289,16.4199105750518,19.2201048122372,3291053,4168346708.8112,5238001375.61461,4879202007.27662,6500009871.3071,URY,High income
1999,5.65868803927908,33.3864489469027,15.0976530821748,18.2887958647279,3308012,3621012840.29878,5058758836.62466,4386374776.22076,6182979629.02725,URY,High income
2000,4.76382472733248,36.7137381507902,16.6980989454195,20.0156392053707,3319736,3811049836.35823,5463039596.7932,4568220536.21607,6218986132.24681,URY,High income
2001,4.35934065217274,36.3095126435057,16.8046592733471,19.5048533701586,3325473,3511970185.67321,5180135718.43848,4076278036.80429,5893053540.781,URY,High income
2002,13.9724725913516,40.02906730756,20.6216724821799,19.40739482538,3326040,2805886752.59914,4833876661.96076,2640666128.80463,4667101379.24472,URY,High income
2003,19.3797301743994,51.7591995826472,27.4324201365808,24.3267794460665,3323668,3304408129.40689,5511620791.72021,2930314108.76786,4673628929.3459,URY,High income
2004,9.15760507540996,61.4766880860242,32.1122956028891,29.364392483135,3321476,4394994711.50161,6803991430.26819,4018907625.47119,5882723798.50806,URY,High income
2005,4.6992773903564,58.8776963190158,30.404019812006,28.4736765070097,3321803,5279006690.43814,7892270406.31408,4943843929.56223,6458517328.65971,URY,High income
2006,6.39764974385121,61.9715745056577,30.2975044000066,31.6740701056512,3325401,5932087138.36891,8335476046.39368,6201611242.06282,7470651763.31279,URY,High income
2007,8.11464561179318,59.2104478541981,29.0904872610903,30.1199605931078,3331749,6810249649.635,8733956276.74313,7051255251.76729,7913182683.12104,URY,High income
2008,7.87707374730889,65.2080950074578,30.2030239685189,35.0050710389389,3340221,9171514626.48418,9479075274.16397,10629714473.9342,9846768585.66644,URY,High income
2009,7.06221874388572,53.3944192780653,27.0992157637665,26.2952035142988,3349676,8579858660.15238,9901282140.09102,8325301055.17964,8993452987.3419,URY,High income
2010,6.69870886978135,51.6990371970696,26.3429945415242,25.3560426555453,3359275,10612138803.0455,10612138803.0455,10214550351.6101,10214550351.6101,URY,High income
2011,8.09283206302989,53.2470340041687,26.422149422135,26.8248845820337,3368934,12672707379.0512,11228051135.3122,12865868985.6681,11482027434.8398,URY,High income
2012,8.09776580573602,55.0611541612456,25.9196294216122,29.1415247396333,3378974,13287539942.8582,11636955636.8413,14939224927.7606,13047932107.2896,URY,High income
2013,8.57513504005394,49.7178464678688,23.3531364208132,26.3647100470556,3389439,13435347409.0842,11629813121.6256,15167942859.5412,13415068623.1623,URY,High income
2014,8.87735333229828,49.0876240883989,23.5426616237561,25.5449624646428,3400434,13474880881.0901,12038576487.7457,14620918051.8333,13516584043.7181,URY,High income
2015,8.66626987079337,45.3282408087844,22.4778512504378,22.8503895583466,3412009,11974918857.768,11966349237.3443,12173386049.2675,12534627828.8731,URY,High income
2016,9.63941347635073,41.3102262369826,21.4275434626237,19.8826827743589,3424132,11289661016.8966,11947545778.379,10475710807.4729,11756506579.8653,URY,High income
2017,6.21809382561863,39.7639193153459,21.4290930740709,18.334826241275,3436646,12105078636.0744,12772305966.7879,10357158497.6663,11815687889.1002,URY,High income
2018,7.60653360377044,39.9922435701169,21.0042656617065,18.9879779084104,3449299,12517888056.616,12157139116.9754,11316243362.524,11576256209.6207,URY,High income
2019,,,,,,,,,,URY,High income
1960,,,,,8526300,,,,,UZB,Lower middle income
1961,,,,,8813616,,,,,UZB,Lower middle income
1962,,,,,9113620,,,,,UZB,Lower middle income
1963,,,,,9428906,,,,,UZB,Lower middle income
1964,,,,,9762816,,,,,UZB,Lower middle income
1965,,,,,10116870,,,,,UZB,Lower middle income
1966,,,,,10493436,,,,,UZB,Lower middle income
1967,,,,,10889509,,,,,UZB,Lower middle income
1968,,,,,11294672,,,,,UZB,Lower middle income
1969,,,,,11694847,,,,,UZB,Lower middle income
1970,,,,,12080317,,,,,UZB,Lower middle income
1971,,,,,12446443,,,,,UZB,Lower middle income
1972,,,,,12796980,,,,,UZB,Lower middle income
1973,,,,,13140797,,,,,UZB,Lower middle income
1974,,,,,13491117,,,,,UZB,Lower middle income
1975,,,,,13857478,,,,,UZB,Lower middle income
1976,,,,,14242769,,,,,UZB,Lower middle income
1977,,,,,14643875,,,,,UZB,Lower middle income
1978,,,,,15057224,,,,,UZB,Lower middle income
1979,,,,,15476922,,,,,UZB,Lower middle income
1980,,,,,15898757,,,,,UZB,Lower middle income
1981,,,,,16321696,,,,,UZB,Lower middle income
1982,,,,,16747426,,,,,UZB,Lower middle income
1983,,,,,17177664,,,,,UZB,Lower middle income
1984,,,,,17615040,,,,,UZB,Lower middle income
1985,,,,,18061284,,,,,UZB,Lower middle income
1986,,,,,18515578,,,,,UZB,Lower middle income
1987,,,,,18976417,,,,,UZB,Lower middle income
1988,,,,,19443887,,,,,UZB,Lower middle income
1989,,,,,19918119,,,,,UZB,Lower middle income
1990,,,,,20510000,,,,,UZB,Lower middle income
1991,,,,,20952000,,,,,UZB,Lower middle income
1992,,,,,21449000,,,,,UZB,Lower middle income
1993,,,,,21942000,,,,,UZB,Lower middle income
1994,,,,,22377000,,,,,UZB,Lower middle income
1995,,,,,22785000,,3904067761.20662,,3077494638.12234,UZB,Lower middle income
1996,,,,,23225000,,4041222883.50277,,3917397086.37167,UZB,Lower middle income
1997,,57.1985913618542,27.1091182703234,30.0894730915308,23667000,3997132075.4717,4171949225.97958,4436573584.90566,3635475978.24138,UZB,Lower middle income
1998,,45.4179547762326,22.5642195291768,22.8537352470558,24051000,3382144369.17866,3528420564.27797,3425539796.78239,2807961441.32098,UZB,Lower middle income
1999,,36.6188588125863,18.1790891922618,18.4397696203245,24311650,3104709563.543,3242756621.6282,3149229781.7715,2583620360.15035,UZB,Lower middle income
2000,,44.0540299791129,24.662704263423,19.3913257156899,24650400,3393714865.37893,3540349388.24637,2668346083.94269,2433977463.50991,UZB,Lower middle income
2001,,56.776277587152,29.6751060849085,27.1011715022435,24964450,3383383874.62673,3349488204.75206,3089918748.11917,2590194458.63696,UZB,Lower middle income
2002,,58.954524710746,30.9204450887224,28.0340796220236,25271850,2995507327.41245,3123468381.94425,2715882345.29212,2336269937.9872,UZB,Lower middle income
2003,,70.4592746850874,38.2375863470134,32.221688338074,25567650,3875170383.182,3950114956.40877,3265492000.74124,2544997537.72588,UZB,Lower middle income
2004,,76.5956691950086,41.7898866324117,34.8057825625969,25864350,5027333202.51177,5061379083.2445,4187143838.30455,3227881926.49394,UZB,Lower middle income
2005,,69.5252584247083,37.8090294786289,31.7162289460794,26167000,5409530612.61164,5667237775.26587,4537802576.95833,3369800258.89686,UZB,Lower middle income
2006,,67.4712921717973,36.5136876387581,30.9576045330392,26488250,6328126538.24697,6619450916.90667,5365211006.46474,4407521565.9838,UZB,Lower middle income
2007,,74.4141929762327,39.6709294075913,34.7432635686414,26868000,8851137334.97958,9261580786.87816,7751706398.20179,6697361940.21212,UZB,Lower middle income
2008,,79.7479920348578,41.1685228048386,38.5794692300191,27302800,12165067485.593,12721986127.991,11400016681.832,9362336758.00243,UZB,Lower middle income
2009,,68.673142199791,34.6626309351177,34.0105112646732,27767400,11677571266.7676,12071185069.2141,11457877212.3743,9612974229.40885,UZB,Lower middle income
2010,,47.6571858002829,27.9140675297448,19.7431182705381,28562400,13030252051.8188,13030252051.8188,9216063086.46529,9216063086.46529,UZB,Lower middle income
2011,,46.5965394757709,26.5258408938206,20.0706985819503,29339400,14991418710.4197,14620811199.1352,11343212358.7357,11394459156.7189,UZB,Lower middle income
2012,,41.5081137355414,21.3879449074993,20.1201688280421,29774500,13608904345.4126,13755872870.4571,12802232948.4479,12873267467.4438,UZB,Lower middle income
2013,,41.0515349480388,20.8231306576194,20.2284042904194,30243200,14367370513.0124,15285135991.96,13957026160.2868,14009339567.5386,UZB,Lower middle income
2014,,35.9493162198779,17.7327760242286,18.2165401956493,30757700,13593687690.6198,14140087247.4143,13964534254.8137,14047422006.3037,UZB,Lower middle income
2015,,30.4410865014844,15.3320737677552,15.1090127337292,31298900,12548905306.0701,14469871751.6733,12366335626.595,12472354164.2439,UZB,Lower middle income
2016,,29.7484086618273,14.8772968212566,14.8711118405707,31847900,12166506404.933,16077058065.9141,12161448388.814,12192101372.6726,UZB,Lower middle income
2017,,45.6789017822858,21.8011051152853,23.8777966670004,32388600,12897521865.4821,16285748740.01,14126091451.9536,14078280253.4181,UZB,Lower middle income
2018,,67.8456143280826,29.1091015791655,38.7365127489172,32955400,14700073463.5746,18022119780.5086,19561908552.3182,19622263577.5443,UZB,Lower middle income
2019,,,,,,,,,,UZB,Lower middle income
1960,,,,,80977,,,,,VCT,Upper middle income
1961,,,,,82169,,,,,VCT,Upper middle income
1962,,,,,83237,,,,,VCT,Upper middle income
1963,,,,,84198,,,,,VCT,Upper middle income
1964,,,,,85111,,,,,VCT,Upper middle income
1965,,,,,86011,,,,,VCT,Upper middle income
1966,,,,,86903,,,,,VCT,Upper middle income
1967,,,,,87777,,,,,VCT,Upper middle income
1968,,,,,88662,,,,,VCT,Upper middle income
1969,,,,,89568,,,,,VCT,Upper middle income
1970,,,,,90509,,,,,VCT,Upper middle income
1971,,,,,91491,,,,,VCT,Upper middle income
1972,,,,,92513,,,,,VCT,Upper middle income
1973,,,,,93571,,,,,VCT,Upper middle income
1974,,,,,94614,,,,,VCT,Upper middle income
1975,6.79770679739966,,,,95662,,,,,VCT,Upper middle income
1976,11.2889826175874,,,,96692,,,,,VCT,Upper middle income
1977,10.1869132045143,96.5527841861338,32.0366730678226,64.5161111183113,97701,15811111.1111111,,31840740.7407407,,VCT,Upper middle income
1978,8.42952810284597,108.265792557251,45.0204543884756,63.2453381687752,98697,27392592.5925926,,38481481.4814815,,VCT,Upper middle income
1979,15.6084783235704,112.789022260248,39.7530381445639,73.0359841156841,99649,28262962.962963,,51925925.9259259,,VCT,Upper middle income
1980,17.2074750037358,117.124536010582,40.2439887740187,76.8805472365629,100566,33137037.037037,,63303703.7037037,,VCT,Upper middle income
1981,12.7356566462517,106.939045208616,42.0775901183853,64.8614550902304,101437,42955555.5555556,,66214814.8148148,,VCT,Upper middle income
1982,7.22825662243943,110.903521883223,44.2552716345304,66.6482502486921,102256,50344444.4444444,,75818518.5185185,,VCT,Upper middle income
1983,5.45838798990218,113.06329444452,47.1811513003124,65.8821431442079,103032,57681481.4814815,,80544444.4444444,,VCT,Upper middle income
1984,2.70195563584382,116.464039837104,52.9257318508895,63.5383079862142,103779,71462962.962963,,85792592.5925926,,VCT,Upper middle income
1985,2.13968510329094,117.589435691858,56.5772008060654,61.0122348857929,104506,82400000,,88859259.2592593,,VCT,Upper middle income
1986,1.02766798418977,121.396967154636,57.7499655969777,63.647001557658,105217,92888888.8888889,,102374074.074074,,VCT,Upper middle income
1987,3.30594679186222,116.700619760364,51.8828798283911,64.8177399319728,105906,91096296.2962963,,113807407.407407,,VCT,Upper middle income
1988,0.22722969134629,129.92236335689,62.0264747504754,67.8958886064149,106532,124503703.703704,,136285185.185185,,VCT,Upper middle income
1989,2.83393160778397,129.028139707183,53.6346720928991,75.3934676142836,107071,115177777.777778,,161903703.703704,,VCT,Upper middle income
1990,7.60609957743892,117.5017264504,54.1536931179997,63.3480333324001,107484,130166666.666667,,152266666.666667,,VCT,Upper middle income
1991,5.49200387001333,105.25986861229,44.4857857101331,60.7740829021569,107776,113362962.962963,,154870370.37037,,VCT,Upper middle income
1992,3.46353042727654,107.807563758526,49.6364907556683,58.1710730028578,107950,137966666.666667,,161688888.888889,,VCT,Upper middle income
1993,4.29137553446651,98.6363938009738,41.7318268307705,56.9045669702034,108033,119481481.481481,,162922222.222222,,VCT,Upper middle income
1994,1.00894955252249,97.5426365149685,38.7839084080939,58.7587281068746,108053,112255555.555556,,170070370.37037,,VCT,Upper middle income
1995,1.73837289880567,98.3588227648367,43.1352698105032,55.2235529543335,108035,136311111.111111,,174511111.111111,,VCT,Upper middle income
1996,4.40790113846453,101.217601082968,45.0201123502858,56.1974887326817,107976,149237037.037037,,186288888.888889,,VCT,Upper middle income
1997,0.443616029823348,108.489114240042,42.6559060426272,65.8332081974144,107895,148344444.444444,,228948148.148148,,VCT,Upper middle income
1998,2.14240647268391,108.781593808561,42.1323476347914,66.6492461737698,107801,157414814.814815,,249014814.814815,,VCT,Upper middle income
1999,1.01355044438876,106.766089538408,45.3484775509395,61.4176119874681,107758,177185185.185185,,239970370.37037,,VCT,Upper middle income
2000,0.167679637488285,95.8673273728703,45.2768874864392,50.5904398864311,107784,179414814.814815,,200470370.37037,,VCT,Upper middle income
2001,0.900858485866485,89.6202336720133,40.9133153292365,48.7069183427768,107896,175943333.333333,,209458888.888889,,VCT,Upper middle income
2002,1.85550399046653,85.1149155554957,38.6055869634579,46.5093285920378,108097,178312814.814815,,214818888.888889,,VCT,Upper middle income
2003,0.205981708824229,85.9767910417357,35.8752287879638,50.1015622537719,108326,172849111.111111,,241392481.481481,,VCT,Upper middle income
2004,2.96003946719292,87.4973107842236,35.3500181078593,52.1472926763643,108512,184518296.296296,,272195888.888889,,VCT,Upper middle income
2005,3.73342916467019,89.2886219294384,36.4144028981402,52.8742190312982,108614,200544555.555556,,291193481.481481,,VCT,Upper middle income
2006,2.7406751607067,88.037534273034,34.7002817986493,53.3372524743847,108603,211994444.444444,,325853296.296296,,VCT,Upper middle income
2007,7.23614701584804,89.7566234808143,31.0061136742657,58.7505098065487,108518,212220185.185185,,402115666.666667,,VCT,Upper middle income
2008,10.0662418245849,92.1712629334662,30.2213997555146,61.9498631779516,108393,210168333.333333,,430817222.222222,,VCT,Upper middle income
2009,0.421539125687228,85.987850346819,28.4933024132758,57.4945479335432,108287,192307703.703704,,388043629.62963,,VCT,Upper middle income
2010,0.747109026311466,84.024983062943,26.8926919935904,57.1322910693526,108255,183200000,183200000,389200000,389200000,VCT,Upper middle income
2011,3.18603111552464,82.7356411171344,27.0362445409585,55.6993965761759,108316,182800000,,376600000,,VCT,Upper middle income
2012,2.59844414147086,85.2029516370306,27.1743153679757,58.0286362690549,108435,188300000,,402100000,,VCT,Upper middle income
2013,0.805127804267965,84.5062189948954,26.0809650483243,58.4252539465711,108622,188097851.851852,,421367259.259259,,VCT,Upper middle income
2014,0.193858560794042,95.7719853626013,34.7427869077732,61.0291984548281,108861,252828407.407407,,444118518.518519,,VCT,Upper middle income
2015,-1.73361194953949,92.0941419311819,37.8349317016248,54.2592102295571,109148,285805074.074074,,409874074.074074,,VCT,Upper middle income
2016,-0.149641647633301,95.3524409840456,37.6138902704978,57.7385507135478,109459,291293111.111111,,447144444.444444,,VCT,Upper middle income
2017,2.15333648840511,89.6710988928785,34.9217300643327,54.7493688285458,109827,276642185.185185,,433712333.333333,,VCT,Upper middle income
2018,2.32414485367923,,,,110210,,,,,VCT,Upper middle income
2019,,,,,,,,,,VCT,Upper middle income
1960,,48.5820575746952,30.4335631646605,18.1484944100347,8141841,2367454545.45455,,1411787878.78788,,VEN,Upper middle income
1961,,48.6556394316163,31.7155121373594,16.940127294257,8439261,2597212121.21212,,1387242424.24242,,VEN,Upper middle income
1962,,49.5793395427604,32.6753598645216,16.9039796782388,8742777,2923454545.45455,,1512393939.39394,,VEN,Upper middle income
1963,,47.2245696886845,32.0418815634127,15.1826881252719,9052635,3125151515.15152,,1480818181.81818,,VEN,Upper middle income
1964,,48.1611807952409,30.1731346634116,17.9880461318293,9369096,2443818181.81818,,1456909090.90909,,VEN,Upper middle income
1965,,48.2249176005274,29.087936717205,19.1369808833223,9692278,2451466666.66667,,1612822222.22222,,VEN,Upper middle income
1966,,44.8139993926511,27.6720821945541,17.141917198097,10022592,2429977777.77778,,1505288888.88889,,VEN,Upper middle income
1967,,44.6359159159159,27.2,17.4359159159159,10359745,2.516e+09,,1612822222.22222,,VEN,Upper middle income
1968,,44.7895028236076,25.2877865131215,19.5017163104861,10702291,2537488888.88889,,1956888888.88889,,VEN,Upper middle income
1969,,44.3251301773869,24.4625456431087,19.8625845342782,11048262,2.516e+09,,2042888888.88889,,VEN,Upper middle income
1970,,42.036905333974,23.2505526189332,18.7863527150408,11396393,2688022222.22222,,2171911111.11111,,VEN,Upper middle income
1971,,44.2006615214994,25.2333700845277,18.9672914369717,11745945,3276954545.45455,,2463204545.45455,,VEN,Upper middle income
1972,,43.2691619784722,23.2867223830119,19.9824395954603,12097694,3254954545.45455,,2793090909.09091,,VEN,Upper middle income
1973,,47.8209766152922,28.666129714824,19.1548469004682,12453718,4883441860.46512,92262280395.7251,3263139534.88372,13744631488.8909,VEN,Upper middle income
1974,,61.4753105119661,42.9378797868739,18.5374307250922,12816955,11207186046.5116,189206740776.143,4838441860.46512,9924876632.15771,VEN,Upper middle income
1975,,57.8492438483294,32.8577113922336,24.9915324560958,13189509,9024255813.95349,151125518538.351,6863837209.30233,12909128031.064,VEN,Upper middle income
1976,,58.5896050450024,29.7245825438181,28.8650225011843,13572208,9339325581.39535,149726195001.66,9069255813.95349,17317670806.8936,VEN,Upper middle income
1977,,62.148407896934,27.0967078982184,35.0516999987155,13964379,9811906976.74419,140430775784.582,12692465116.2791,22336628295.2485,VEN,Upper middle income
1978,,61.3605820418786,24.097775937537,37.2628061043416,14364727,9474348837.2093,133334283314.744,14650348837.2093,21500137542.0888,VEN,Upper middle income
1979,,58.3211464495973,29.9058906213144,28.4152558282829,14771271,14447813953.4884,144029008867.011,13727674418.6047,16639435227.5875,VEN,Upper middle income
1980,,57.36822435789,32.6241438861373,24.7440804717527,15182611,19286255813.9535,120440638182.529,14627837209.3023,16458567910.3816,VEN,Upper middle income
1981,,55.4064051499257,30.5023701999944,24.9040349499313,15597886,20231441860.4651,113643989390.99,16518209302.3256,18357631293.5638,VEN,Upper middle income
1982,,53.0575964403917,25.0503659859648,28.0072304544268,16017573,16968302325.5814,103149156757.338,18971186046.5116,21409702586.5462,VEN,Upper middle income
1983,,35.710518706195,22.6855128540545,13.0250058521405,16443134,15325488372.093,99950741048.2269,8799209302.32558,10105740707.0144,VEN,Upper middle income
1984,,42.6126711611343,25.0604420194633,17.552229141671,16876703,15038842857.1429,115842900370.186,10533142857.1429,15596979428.9694,VEN,Upper middle income
1985,,39.4405916413658,22.5496997252233,16.8908919161425,17319520,13973026666.6667,111045276806.519,10466520000,15019575722.1651,VEN,Upper middle income
1986,,39.0019257030247,19.2929480837006,19.7089776193241,17772001,11651320987.6543,124738526582.74,11902567901.2346,14960794849.2014,VEN,Upper middle income
1987,,42.3057460932396,20.2396826057801,22.0660634874595,18232730,9720924137.93103,123039343599.707,10598117241.3793,16231355426.3511,VEN,Upper middle income
1988,,46.3720351821803,19.9546195219648,26.4174156602155,18698847,12017951724.1379,127936949459.144,15910262068.9655,18668494117.4265,VEN,Upper middle income
1989,,53.4273196937686,33.020834091982,20.4064856017866,19166471,14372731988.4726,135298313520.658,8882178674.35159,13173410617.7847,VEN,Upper middle income
1990,,57.7072173831781,38.1753164731902,19.5319009099879,19632665,18552560767.5906,154645777213.108,9492174840.08529,12427575299.9136,VEN,Upper middle income
1991,,55.7196397554298,30.3401819659113,25.3794577895185,20096317,16225010563.3803,161203544448.738,13572165492.9577,18593886041.0559,VEN,Upper middle income
1992,,53.4761391974746,25.5014894167542,27.9746497807204,20557683,15403358187.1345,157928159186.352,16897191520.4678,23472449808.8551,VEN,Upper middle income
1993,,52.3901855240183,26.0872681453997,26.3029173786186,21016901,15669320484.5815,176915800430.634,15798850220.2643,21938954489.5491,VEN,Upper middle income
1994,,51.4448140048405,29.8660764305307,21.5787375743098,21474549,17447363636.3636,191182767596.106,12606010774.4108,17885805934.2618,VEN,Upper middle income
1995,,47.3423429413769,26.2312623568888,21.1110805844881,21931084,20305023755.6561,203207841529.752,16341607466.0633,22156668511.585,VEN,Upper middle income
1996,,55.9724277883021,35.3343058736758,20.6381219146263,22385650,24925953989.9353,219125995187.852,14558793913.2519,19668440772.5638,VEN,Upper middle income
1997,,51.2450364065399,29.2590106069999,21.98602579954,22837743,25116968890.7081,175916189624.792,18873581661.8911,29899751179.5708,VEN,Upper middle income
1998,,43.5993929334366,20.920486481036,22.6789064524006,23288564,19106932067.2023,182143692326.185,20712918188.4587,33270056453.0973,VEN,Upper middle income
1999,,42.0702304843238,22.9117089002201,19.1585215841037,23739841,22448178966.4851,162128282851.067,18770922899.125,30165659480.1826,VEN,Upper middle income
2000,,47.8572215529808,29.7442196597828,18.113001893198,24192446,34842594117.6471,171576179047.041,21217701470.5882,33906004341.3734,VEN,Upper middle income
2001,,42.141268017362,22.7356315651648,19.4056364521971,24646472,27942991571.093,165486259690.9,23850295702.6392,38689344852.3247,VEN,Upper middle income
2002,,48.5757106494068,30.4335705492145,18.1421401001924,25100408,28270835558.6183,158932229481.537,16852884830.7348,28933223093.4496,VEN,Upper middle income
2003,,50.577007378194,33.8533894084396,16.7236179697545,25551624,28308417019.686,142429108652.008,13984394467.9791,22890832993.4944,VEN,Upper middle income
2004,,55.367455602322,36.1983535672104,19.1691020351116,25996594,40706272933.9608,161921492130.229,21556303600.6979,36091269888.8385,VEN,Upper middle income
